TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS
Green Bay,Horz,33,17,101.5,98.8,0.5771,47.9,47.7,20.8,18.0,32.8,26.7,40.2,33.9,47.3,45.8,33.0,34.0,64.3,-7.9,,,2013,3.99,104.5,100.5,62.5,-0.05,0.01,0.61,4.01,126.0,,0.0
Hampton,MEAC,31,14,87.7,98.1,0.2158,43.1,43.8,24.3,22.3,34.1,32.6,38.6,42.5,44.6,42.9,26.3,30.6,70.2,-13.8,,,2013,,,,,,,,-10.399999999999991,150.0,,0.0
Hartford,AE,31,17,91.8,97.3,0.3399,48.3,49.4,22.2,24.9,25.8,30.8,30.7,41.5,46.9,48.5,33.4,34.2,64.2,-7.9,,,2013,,,,,,,,-5.5,150.0,,0.0
Harvard,Ivy,29,19,104.9,99.9,0.6362,54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,51.5,48.9,39.8,33.3,64.7,-2.6,R32,14.0,2013,7.07,108.1,101.1,63.3,0.037,0.6,5.07,7.0552,93.0,2.0,0.0
Hawaii,BW,28,15,101.5,105.2,0.3983,50.2,49.0,20.7,17.4,35.3,29.5,36.0,32.7,50.1,45.6,33.7,36.6,69.6,-7.8,,,2013,,,,,,,,-3.700000000000003,150.0,,0.0
High Point,BSth,29,15,97.9,103.5,0.3451,48.0,48.0,17.9,19.7,34.1,31.5,32.7,41.5,48.2,47.6,31.6,32.5,66.1,-10.2,,,2013,,,,,,,,-5.599999999999994,150.0,,0.0
Hofstra,CAA,31,6,88.1,100.0,0.189,42.0,48.9,22.2,20.6,34.3,34.9,39.3,36.7,41.6,50.0,28.7,31.0,64.9,-19.7,,,2013,,,,,,,,-11.900000000000006,150.0,,0.0
Holy Cross,Pat,31,12,97.4,103.5,0.3345,47.7,47.7,20.1,15.5,28.3,30.1,29.6,31.2,45.3,47.7,34.5,31.7,63.1,-13.3,,,2013,,,,,,,,-6.099999999999994,150.0,,0.0
Houston,CUSA,32,19,106.0,106.0,0.5013,51.3,48.7,18.3,17.9,33.4,31.4,39.4,33.7,50.3,49.2,35.9,31.8,70.4,-7.5,,,2013,,,,,,,,0.0,150.0,,0.0
Houston Baptist,GWC,27,11,85.7,102.4,0.1137,43.8,47.3,25.0,22.6,31.7,33.0,37.5,41.7,42.5,46.8,31.7,32.6,69.0,-12.7,,,2013,,,,,,,,-16.700000000000003,150.0,,0.0
Howard,MEAC,29,6,81.2,101.1,0.075,39.2,47.3,23.9,22.9,35.1,34.3,34.1,37.0,39.9,45.8,24.9,33.3,62.4,-17.7,,,2013,,,,,,,,-19.89999999999999,150.0,,0.0
IPFW,Sum,31,14,97.5,103.1,0.3451,49.5,52.0,20.3,19.7,31.4,26.6,38.4,37.8,47.5,52.3,35.4,34.1,66.2,-12.3,,,2013,,,,,,,,-5.599999999999994,150.0,,0.0
IUPUI,Sum,30,4,95.4,115.7,0.0974,50.5,55.9,18.8,16.9,22.1,33.7,24.2,31.6,48.6,54.5,36.1,39.2,66.2,-20.0,,,2013,,,,,,,,-20.299999999999997,150.0,,0.0
Idaho,WAC,29,11,108.3,111.6,0.4141,52.7,51.7,21.2,14.2,33.1,29.2,37.6,30.8,51.4,50.5,36.8,36.0,63.4,-11.6,,,2013,,,,,,,,-3.299999999999997,150.0,,0.0
Idaho St.,BSky,29,5,90.5,107.0,0.1276,46.2,52.1,19.5,20.8,24.5,34.3,37.5,34.6,45.7,49.7,31.4,37.4,60.3,-19.5,,,2013,,,,,,,,-16.5,150.0,,0.0
Illinois,B10,34,21,109.8,92.7,0.8749,47.5,48.7,17.6,21.7,33.6,33.0,31.0,36.0,47.4,47.4,31.7,34.1,66.1,2.4,R32,7.0,2013,15.82,110.6,94.8,64.6,0.042,10.84,-0.8,15.8032,39.0,3.0,0.0
Illinois Chicago,Horz,33,17,96.2,98.7,0.4283,46.0,46.7,19.5,19.5,28.2,30.3,35.4,34.9,43.5,44.7,33.5,33.7,64.6,-8.9,,,2013,,,,,,,,-2.5,150.0,,0.0
Illinois St.,MVC,33,18,108.3,96.3,0.7955,51.8,48.4,18.7,21.0,29.5,31.4,34.4,34.0,51.7,47.3,34.7,33.4,70.4,-5.2,,,2013,11.49,109.7,98.2,68.8,-0.094,4.14,-2.4,11.5276,63.0,,0.0
Indiana,B10,36,29,121.0,89.7,0.9692,54.7,44.0,19.3,20.9,39.0,31.4,45.8,27.0,52.0,43.2,40.3,30.4,67.8,7.8,S16,1.0,2013,29.31,120.8,91.5,66.0,-0.021,8.86,-5.16,29.3184,3.0,0.0,0.0
Indiana St.,MVC,32,17,100.5,94.7,0.6633,48.2,46.5,19.6,18.2,26.6,29.8,42.1,38.7,48.4,45.6,32.0,32.4,65.3,-3.5,,,2013,7.31,103.0,95.7,64.0,0.041,7.31,4.1,7.2936,92.0,,0.0
Iona,MAAC,34,20,112.8,105.0,0.6956,52.1,51.6,17.1,19.3,32.8,33.4,32.7,32.2,50.4,49.1,36.7,37.5,71.3,-5.9,R64,15.0,2013,7.45,114.4,106.9,69.7,-0.07,0.94,4.09,7.478,89.0,1.0,0.0
Iowa,B10,37,24,109.1,90.5,0.8959,46.4,44.0,18.6,19.7,36.6,30.8,40.8,31.2,47.1,43.7,29.9,29.7,67.7,0.1,,,2013,17.83,109.8,91.9,66.3,-0.029,7.0,-9.03,17.8416,29.0,,0.0
Iowa St.,B12,35,23,117.2,98.3,0.8828,53.8,48.0,18.5,18.6,34.2,28.5,33.0,32.7,51.9,48.8,37.4,31.1,69.6,0.7,R32,10.0,2013,17.63,117.5,99.8,68.3,-0.046,6.74,-3.12,17.6484,30.0,-2.0,0.0
Jackson St.,SWAC,29,11,93.7,106.8,0.1817,44.5,50.0,18.2,20.9,27.4,35.0,38.4,39.3,43.2,51.3,31.2,31.5,68.6,-13.5,,,2013,,,,,,,,-13.099999999999994,150.0,,0.0
Jacksonville,ASun,30,12,94.2,106.4,0.1987,46.1,50.3,21.5,20.2,33.0,32.0,36.3,39.5,45.4,49.6,32.0,34.5,69.4,-12.9,,,2013,,,,,,,,-12.200000000000005,150.0,,0.0
Jacksonville St.,OVC,26,15,100.8,104.9,0.3883,49.4,50.0,20.4,24.7,31.7,39.6,43.9,38.9,47.8,50.9,35.2,31.6,62.7,-6.5,,,2013,,,,,,,,-4.1000000000000085,150.0,,0.0
James Madison,CAA,36,21,98.5,99.4,0.4736,47.6,48.7,17.2,21.1,29.6,31.1,36.8,39.2,46.2,46.9,33.6,34.7,64.2,-8.9,R64,16.0,2013,,,,,,,,-0.9000000000000057,150.0,0.0,0.0
Kansas,B12,37,31,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,S16,1.0,2013,25.23,112.7,87.5,66.4,0.01,7.05,2.64,25.226,8.0,1.0,0.0
Kansas St.,B12,34,26,113.4,94.5,0.8896,49.1,47.5,18.2,22.2,38.5,33.8,31.7,36.8,46.8,46.5,35.8,33.3,63.0,5.4,R64,4.0,2013,18.16,113.5,95.3,61.4,0.051,6.82,-3.29,18.1396,27.0,3.0,0.0
Kennesaw St.,ASun,30,3,90.4,110.0,0.0944,44.7,55.5,21.0,21.3,30.7,33.1,37.4,47.6,44.4,54.7,30.3,38.2,64.4,-22.0,,,2013,,,,,,,,-19.59999999999999,150.0,,0.0
Kent St.,MAC,34,20,106.6,102.1,0.6221,48.8,48.5,18.9,20.8,34.5,33.2,43.8,41.3,46.3,49.5,35.8,31.0,66.9,-6.8,,,2013,4.43,107.8,103.4,65.6,-0.019,-0.86,-0.68,4.4376,121.0,,0.0
Kentucky,SEC,33,21,109.7,96.7,0.81,52.6,43.9,19.4,17.6,34.7,31.2,41.7,30.2,52.9,42.0,34.6,32.4,67.5,-0.2,,,2013,13.25,111.4,98.1,65.4,-0.006,4.9,-1.44,13.2524,55.0,,0.0
LIU Brooklyn,NEC,34,20,108.1,111.2,0.4195,54.4,52.6,20.3,18.4,35.2,33.5,45.6,31.6,53.1,51.1,38.0,37.2,69.3,-8.6,R68,16.0,2013,,,,,,,,-3.1000000000000085,150.0,0.0,0.0
LSU,SEC,31,19,105.4,97.4,0.7142,49.2,47.0,20.5,21.6,34.4,34.8,33.4,38.0,46.9,46.9,35.6,31.5,69.3,-2.5,,,2013,6.38,105.6,99.3,67.7,0.06,3.14,-8.05,6.356,102.0,,0.0
La Salle,A10,34,24,112.0,96.2,0.8516,51.9,49.3,17.1,21.3,29.0,34.2,31.3,28.5,49.3,50.6,37.7,30.2,66.0,0.3,S16,13.0,2013,13.89,111.8,98.0,64.6,0.051,5.67,-0.5,13.8696,50.0,0.0,0.0
Lafayette,Pat,33,18,103.9,104.8,0.4767,52.7,52.3,18.7,20.6,25.1,32.6,28.2,31.5,49.6,51.2,38.4,36.4,65.9,-8.3,,,2013,,,,,,,,-0.8999999999999915,150.0,,0.0
Lamar,Slnd,31,3,83.3,110.2,0.0385,42.4,50.3,25.5,16.0,32.4,34.4,31.5,29.0,42.0,48.9,30.3,35.8,70.3,-21.4,,,2013,,,,,,,,-26.90000000000001,150.0,,0.0
Lehigh,Pat,30,20,106.5,100.4,0.6637,53.0,47.6,16.4,20.4,26.9,34.0,36.4,28.6,49.8,49.2,39.4,29.8,67.4,-3.4,,,2013,7.32,108.9,101.6,65.8,-0.003,-3.16,-1.85,7.3212,91.0,,0.0
Liberty,BSth,33,12,100.1,109.7,0.2591,48.5,47.8,19.8,15.1,29.0,32.6,38.4,38.5,44.9,48.6,37.0,30.9,65.7,-15.6,R68,16.0,2013,,,,,,,,-9.600000000000009,150.0,0.0,0.0
Lipscomb,ASun,29,11,96.2,107.7,0.2142,46.7,51.8,23.2,18.6,35.7,32.0,44.6,44.9,46.5,52.6,31.5,33.8,70.7,-12.4,,,2013,,,,,,,,-11.5,150.0,,0.0
Long Beach St.,BW,31,17,102.7,104.2,0.4581,50.1,50.9,20.8,19.5,32.1,36.1,36.3,32.1,49.7,47.5,34.0,38.2,67.3,-5.4,,,2013,,,,,,,,-1.5,150.0,,0.0
Longwood,BSth,31,6,93.5,114.2,0.091,48.3,54.4,22.7,18.4,28.8,34.6,30.5,34.7,48.3,53.1,32.1,38.3,70.7,-19.5,,,2013,,,,,,,,-20.700000000000003,150.0,,0.0
Louisiana Lafayette,SB,32,12,98.4,105.3,0.3135,48.6,48.8,19.6,20.8,29.1,35.2,35.1,43.3,46.9,47.2,34.5,34.9,70.2,-13.9,,,2013,,,,,,,,-6.8999999999999915,150.0,,0.0
Louisiana Monroe,SB,27,4,90.9,109.4,0.106,48.4,53.5,24.1,21.9,27.3,34.1,31.5,39.6,46.6,53.1,34.8,36.2,66.1,-18.0,,,2013,,,,,,,,-18.5,150.0,,0.0
Louisiana Tech,WAC,33,26,98.9,92.6,0.6808,46.5,45.1,17.7,24.6,33.8,33.6,35.5,36.2,45.7,45.3,31.9,29.6,70.4,-1.0,,,2013,8.05,101.8,93.7,68.7,0.082,-2.4,-4.77,8.0172,85.0,,0.0
Louisville,BE,40,35,115.9,84.5,0.9743,50.6,44.8,18.3,27.0,38.2,33.3,40.0,34.9,50.8,43.4,33.3,31.8,67.1,9.0,Champions,1.0,2013,32.92,117.7,84.8,65.8,-0.016,10.23,2.15,32.9264,1.0,0.0,0.0
Loyola Chicago,Horz,30,14,101.2,101.9,0.4795,50.4,49.0,20.9,18.4,30.5,26.9,35.3,30.5,48.3,48.1,36.5,33.9,63.2,-10.5,,,2013,,,,,,,,-0.7000000000000028,150.0,,0.0
Loyola MD,MAAC,35,23,102.3,98.5,0.6086,46.9,45.8,18.4,20.9,37.1,35.9,41.0,42.4,47.6,46.2,29.9,30.0,63.7,-4.9,,,2013,4.13,104.6,100.4,62.7,0.047,-1.48,-1.26,4.1112,124.0,,0.0
Loyola Marymount,WCC,32,10,95.7,99.7,0.3854,44.6,51.4,20.1,20.9,32.7,32.4,34.0,40.4,42.6,48.7,32.6,37.5,64.8,-12.7,,,2013,,,,,,,,-4.0,150.0,,0.0
Maine,AE,29,10,95.8,103.6,0.2902,47.3,48.2,21.7,17.2,30.4,30.4,33.3,34.3,48.8,45.9,29.2,35.4,69.6,-13.9,,,2013,,,,,,,,-7.799999999999997,150.0,,0.0
Manhattan,MAAC,32,14,93.7,92.4,0.5392,46.8,46.2,25.7,23.1,31.8,32.4,45.8,46.6,44.7,43.2,33.7,34.9,62.5,-10.9,,,2013,,,,,,,,1.2999999999999972,150.0,,0.0
Marist,MAAC,31,10,97.0,103.5,0.3219,48.4,49.9,20.8,18.9,27.0,33.1,39.6,32.0,46.6,47.6,34.6,36.8,68.3,-15.1,,,2013,,,,,,,,-6.5,150.0,,0.0
Marquette,BE,35,26,113.0,93.2,0.902,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,64.6,4.5,E8,3.0,2013,18.32,113.2,94.9,63.3,0.09,9.28,-1.14,18.284,26.0,4.0,0.0
Marshall,CUSA,31,12,100.2,104.4,0.3831,48.1,49.8,22.9,19.2,37.6,36.1,45.0,38.4,49.1,47.3,30.9,37.1,68.1,-11.4,,,2013,,,,,,,,-4.200000000000003,150.0,,0.0
Maryland,ACC,38,25,106.1,92.7,0.8254,51.6,43.6,22.2,15.7,36.9,27.9,34.5,29.7,51.9,42.7,33.9,30.3,67.2,-1.3,,,2013,13.62,107.1,93.4,66.2,-0.032,4.07,-11.03,13.6328,52.0,,0.0
Maryland Eastern Shore,MEAC,28,2,85.2,111.0,0.0456,39.8,53.7,23.5,21.4,34.9,34.0,35.3,33.2,39.3,53.4,27.2,36.3,64.8,-21.3,,,2013,,,,,,,,-25.799999999999997,150.0,,0.0
Massachusetts,A10,33,21,106.7,97.4,0.7409,49.5,47.4,20.3,18.9,32.4,32.6,35.8,35.0,48.9,46.9,33.6,32.4,71.2,-1.0,,,2013,7.91,107.4,99.5,69.8,0.08,4.89,1.28,7.878,86.0,,0.0
McNeese St.,Slnd,28,11,93.7,108.7,0.1541,44.9,48.8,17.9,19.0,31.8,37.8,30.3,35.8,43.9,48.6,31.9,32.8,64.3,-12.1,,,2013,,,,,,,,-15.0,150.0,,0.0
Memphis,CUSA,36,31,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33.0,69.3,4.5,R32,6.0,2013,16.33,107.3,91.0,68.3,0.056,1.9,0.43,16.307599999999997,37.0,4.0,0.0
Mercer,ASun,34,22,102.3,98.6,0.6042,50.3,46.7,19.5,21.8,29.6,32.6,35.6,40.3,48.4,43.7,35.4,34.5,62.8,-5.6,,,2013,3.96,104.0,100.1,61.3,0.027,-4.51,2.75,3.9492,127.0,,0.0
Miami FL,ACC,36,29,112.4,90.8,0.9207,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,50.6,44.0,36.2,32.6,63.0,6.3,S16,2.0,2013,22.37,113.6,91.3,61.9,0.028,8.41,4.96,22.3588,13.0,2.0,0.0
Miami OH,MAC,30,8,97.1,103.5,0.323,48.2,54.0,21.9,23.1,27.5,34.1,36.0,37.6,48.0,52.7,32.4,37.5,65.8,-14.5,,,2013,,,,,,,,-6.400000000000006,150.0,,0.0
Michigan,B10,38,30,121.5,93.7,0.9522,54.6,48.0,14.6,18.7,32.5,29.4,28.4,22.7,53.4,47.6,37.9,32.6,64.8,6.2,2ND,4.0,2013,27.86,121.9,94.0,64.0,-0.007,11.13,-3.09,27.8628,4.0,-3.0,0.0
Michigan St.,B10,35,26,111.4,87.8,0.9392,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,50.4,44.3,34.1,30.1,64.4,6.7,S16,3.0,2013,24.17,112.6,88.5,63.1,0.001,11.91,-0.75,24.169600000000003,10.0,0.0,0.0
Middle Tennessee,SB,34,28,105.1,91.0,0.8396,51.1,44.4,20.7,23.6,36.5,29.0,41.4,42.8,49.2,43.9,37.7,30.3,64.9,0.7,R68,11.0,2013,14.77,107.3,92.5,63.4,0.052,-2.3,4.87,14.7492,44.0,0.0,0.0
Milwaukee,Horz,30,6,93.7,106.5,0.1871,44.6,50.5,21.5,17.6,29.0,35.0,36.1,30.2,43.5,51.1,30.8,32.7,65.9,-17.4,,,2013,,,,,,,,-12.799999999999995,150.0,,0.0
Minnesota,B10,34,21,112.6,92.5,0.905,49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,48.8,42.8,33.7,33.9,64.1,2.1,R32,11.0,2013,19.85,114.8,95.0,62.3,-0.036,11.22,2.07,19.8644,20.0,-6.0,0.0
Mississippi,SEC,36,27,110.0,95.6,0.834,49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,49.4,46.2,32.4,31.3,70.9,1.6,R32,12.0,2013,16.95,112.3,95.3,69.2,-0.011,3.19,-7.55,16.9544,34.0,-3.0,0.0
Mississippi St.,SEC,32,10,89.8,98.0,0.2682,44.6,49.9,24.8,22.3,30.5,36.1,40.8,25.8,45.5,50.0,28.4,33.2,68.1,-11.6,,,2013,,,,,,,,-8.200000000000003,150.0,,0.0
Mississippi Valley St.,SWAC,28,5,88.8,111.3,0.0696,42.2,51.5,21.5,22.2,31.6,37.5,39.5,43.1,40.5,50.9,30.3,35.4,70.6,-18.3,,,2013,,,,,,,,-22.5,150.0,,0.0
Missouri,SEC,34,23,113.3,95.2,0.8815,51.2,46.1,18.9,17.6,38.7,28.6,35.0,29.7,51.4,44.1,33.9,33.2,67.7,1.2,R64,9.0,2013,18.53,114.9,96.4,66.3,-0.032,5.62,-2.02,18.5428,25.0,-2.0,0.0
Missouri St.,MVC,31,9,100.0,102.7,0.4235,44.9,51.9,16.8,19.5,25.8,31.7,34.4,37.9,45.8,52.5,28.8,33.9,61.0,-12.1,,,2013,,,,,,,,-2.700000000000003,150.0,,0.0
Monmouth,NEC,31,10,90.7,103.6,0.1782,44.4,52.9,20.9,25.5,29.8,35.2,32.3,41.5,43.5,52.2,31.0,36.0,70.3,-15.4,,,2013,,,,,,,,-12.899999999999991,150.0,,0.0
Montana,BSky,30,23,101.6,101.8,0.4929,52.9,48.6,19.1,18.3,25.1,30.5,40.6,35.9,52.0,48.0,36.4,33.3,63.9,-1.4,R64,13.0,2013,2.14,104.9,102.8,62.7,0.175,-5.21,8.71,2.0700000000000003,145.0,3.0,0.0
Montana St.,BSky,28,11,98.8,113.2,0.1726,47.8,55.5,17.0,21.1,29.2,30.1,37.3,39.6,46.5,53.7,33.3,39.1,66.2,-13.8,,,2013,,,,,,,,-14.400000000000006,150.0,,0.0
Morehead St.,OVC,31,13,97.4,104.2,0.3157,47.9,52.5,24.7,23.2,39.5,30.2,39.0,59.4,48.5,51.8,31.2,36.0,69.7,-11.9,,,2013,,,,,,,,-6.799999999999997,150.0,,0.0
Morgan St.,MEAC,32,17,97.5,101.3,0.3903,48.3,45.3,22.3,21.8,38.0,35.6,39.2,38.2,49.8,45.1,29.2,30.6,67.5,-11.0,,,2013,,,,,,,,-3.799999999999997,150.0,,0.0
Mount St. Mary's,NEC,32,18,100.9,104.6,0.3983,50.5,55.7,18.3,23.9,28.6,33.9,31.9,38.2,50.3,54.8,33.8,39.1,67.0,-7.7,,,2013,,,,,,,,-3.6999999999999886,150.0,,0.0
Murray St.,OVC,29,19,103.0,102.0,0.5285,52.4,48.1,20.5,20.2,32.5,31.8,39.0,33.5,52.2,47.0,35.1,33.5,66.3,-5.0,,,2013,3.37,105.6,102.3,64.9,-0.012,-3.07,2.4,3.3748,131.0,,0.0
NJIT,GWC,25,12,93.0,102.0,0.2569,45.8,45.1,21.5,21.2,33.8,31.9,41.3,41.7,42.3,42.5,35.8,33.3,67.5,-9.8,,,2013,,,,,,,,-9.0,150.0,,0.0
Navy,Pat,30,7,87.7,102.8,0.1392,44.1,49.6,18.5,21.6,25.8,34.0,27.9,38.4,42.2,50.7,32.1,31.9,61.0,-18.2,,,2013,,,,,,,,-15.099999999999994,150.0,,0.0
Nebraska,B10,33,15,101.4,96.1,0.6476,45.4,48.6,17.3,18.0,26.1,30.7,28.4,38.9,45.1,48.0,30.7,33.4,62.2,-3.4,,,2013,3.03,102.1,99.1,60.5,0.104,10.22,-1.29,2.9884,136.0,,0.0
Nebraska Omaha,Sum,29,10,98.4,116.9,0.1214,51.5,55.7,20.1,17.6,24.5,37.1,28.9,29.1,50.2,54.8,36.5,38.4,72.4,-13.4,,,2013,,,,,,,,-18.5,150.0,,0.0
Nevada,MWC,30,11,103.1,104.3,0.4671,47.3,51.8,18.7,18.7,28.9,32.0,41.8,40.2,47.8,49.5,30.9,37.4,67.0,-9.2,,,2013,,,,,,,,-1.2000000000000028,150.0,,0.0
New Hampshire,AE,28,8,90.9,100.3,0.2435,43.9,45.8,18.6,18.8,28.1,30.5,34.7,36.3,42.9,47.5,30.5,27.9,64.3,-15.0,,,2013,,,,,,,,-9.399999999999991,150.0,,0.0
New Mexico,MWC,35,29,107.0,91.1,0.8641,48.4,45.9,17.6,19.5,29.3,27.6,45.7,25.7,46.1,42.0,35.1,34.6,65.4,6.9,R64,3.0,2013,19.02,109.9,90.9,63.7,0.073,7.98,4.42,18.9908,23.0,3.0,0.0
New Mexico St.,WAC,34,23,102.5,95.3,0.6992,49.3,45.4,21.9,18.6,36.9,29.8,47.0,30.7,49.8,43.2,31.8,33.9,65.1,-3.1,R64,13.0,2013,7.68,104.7,97.1,63.8,0.039,0.36,3.94,7.6644,88.0,3.0,0.0
New Orleans,ind,22,4,86.6,112.1,0.049,44.9,54.0,24.4,21.2,27.4,36.6,38.8,41.5,46.1,52.7,27.1,38.1,71.1,-14.9,,,2013,,,,,,,,-25.5,150.0,,0.0
Niagara,MAAC,33,19,105.2,102.6,0.5734,48.3,51.7,16.4,22.5,32.5,33.0,38.0,40.6,47.9,50.0,32.7,36.5,69.4,-6.9,,,2013,2.81,107.0,104.2,67.7,0.012,-0.54,0.28,2.8052,139.0,,0.0
Nicholls St.,Slnd,30,9,97.1,109.6,0.1999,48.7,52.1,20.2,20.9,30.1,35.1,40.0,39.3,50.1,51.1,30.5,36.5,67.2,-15.4,,,2013,,,,,,,,-12.5,150.0,,0.0
Norfolk St.,MEAC,33,21,94.3,97.6,0.4032,46.2,44.9,21.1,22.0,33.7,36.0,40.0,38.5,45.2,45.3,32.5,29.3,68.5,-6.2,,,2013,,,,,,,,-3.299999999999997,150.0,,0.0
North Carolina,ACC,35,24,111.6,93.0,0.8902,49.3,48.0,17.2,21.5,34.6,31.6,28.2,27.1,46.3,46.3,37.2,34.4,71.4,2.5,R32,8.0,2013,17.14,112.2,95.1,69.6,0.038,8.57,-0.95,17.1248,32.0,0.0,0.0
North Carolina A&T,MEAC,36,19,90.6,95.7,0.3459,45.7,45.2,22.7,23.4,29.8,33.2,42.6,41.1,45.4,43.4,30.7,32.0,66.9,-11.5,R64,16.0,2013,,,,,,,,-5.1000000000000085,150.0,0.0,0.0
North Carolina Central,MEAC,28,19,96.3,96.4,0.4973,49.3,45.6,23.0,22.9,30.6,31.1,45.5,38.8,48.8,45.7,33.6,30.4,64.3,-5.2,,,2013,,,,,,,,-0.1000000000000085,150.0,,0.0
North Carolina St.,ACC,35,24,115.2,98.0,0.865,54.2,46.8,18.0,16.6,34.7,32.6,40.9,29.0,52.8,47.5,39.1,30.2,68.1,2.2,R64,8.0,2013,16.99,116.8,99.8,66.8,-0.032,6.54,-0.36,17.002799999999997,33.0,1.0,0.0
North Dakota,BSky,31,14,94.9,103.2,0.274,47.1,49.1,18.8,19.8,29.4,32.9,36.5,33.7,45.7,48.4,33.2,33.8,67.8,-11.4,,,2013,,,,,,,,-8.299999999999997,150.0,,0.0
North Dakota St.,Sum,32,22,102.1,94.2,0.7167,52.8,44.4,18.1,18.1,30.0,25.1,28.4,35.4,52.3,42.3,35.8,32.4,60.8,-3.6,,,2013,10.03,105.5,95.4,59.6,-0.015,-3.66,2.45,10.036,75.0,,0.0
North Florida,ASun,31,12,98.8,106.1,0.3053,50.6,48.3,22.1,18.6,31.0,38.1,29.7,36.5,50.2,47.0,34.2,34.9,66.4,-12.1,,,2013,,,,,,,,-7.299999999999997,150.0,,0.0
North Texas,SB,30,11,96.0,102.9,0.3104,44.4,47.8,20.7,18.5,33.6,32.8,41.5,34.3,44.9,45.3,28.6,35.7,66.9,-13.5,,,2013,,,,,,,,-6.900000000000006,150.0,,0.0
Northeastern,CAA,33,20,103.4,105.9,0.4313,51.0,52.2,19.8,22.3,31.4,35.7,38.8,29.1,48.3,53.4,37.1,33.2,63.9,-6.8,,,2013,,,,,,,,-2.5,150.0,,0.0
Northern Arizona,BSky,32,11,94.9,107.1,0.1995,48.7,53.2,20.5,20.2,27.0,30.7,31.4,38.8,48.5,52.2,32.7,36.6,68.5,-14.7,,,2013,,,,,,,,-12.199999999999989,150.0,,0.0
Northern Colorado,BSky,29,11,100.8,108.5,0.3003,51.3,53.0,20.2,19.0,31.4,29.7,33.2,33.4,49.2,52.7,37.1,35.6,66.4,-13.3,,,2013,,,,,,,,-7.700000000000003,150.0,,0.0
Northern Illinois,MAC,29,4,83.7,101.1,0.1029,39.7,50.1,23.3,22.4,33.2,29.6,35.8,51.9,38.8,49.5,27.8,34.1,62.5,-19.7,,,2013,,,,,,,,-17.39999999999999,150.0,,0.0
Northern Iowa,MVC,34,20,104.0,94.6,0.7476,51.1,48.8,19.0,19.7,24.6,26.5,33.2,25.1,48.6,47.7,36.4,34.1,62.9,-2.7,,,2013,10.84,106.8,96.0,61.8,-0.034,5.34,6.52,10.8536,68.0,,0.0
Northern Kentucky,ASun,27,11,95.9,103.3,0.2997,48.1,49.8,18.9,21.0,25.2,31.7,28.4,35.7,46.8,49.5,33.1,33.5,59.6,-12.0,,,2013,,,,,,,,-7.399999999999992,150.0,,0.0
Northwestern,B10,32,13,103.4,98.3,0.6392,47.5,48.2,17.3,19.0,25.9,36.0,33.9,37.8,44.7,46.5,34.1,34.6,61.5,-5.5,,,2013,3.27,104.5,101.2,60.0,-0.022,8.62,-5.6,3.2788,132.0,,0.0
Northwestern St.,Slnd,28,19,104.8,102.1,0.573,49.0,47.8,19.2,21.7,34.8,37.3,40.3,40.5,50.0,46.8,31.0,33.9,73.0,-3.2,R64,14.0,2013,2.82,106.6,103.8,71.9,0.075,-3.56,8.11,2.79,138.0,2.0,0.0
Notre Dame,BE,35,25,112.9,95.4,0.8748,52.2,46.8,17.6,16.0,34.0,29.5,32.0,24.6,50.6,45.9,37.0,32.5,61.7,3.9,R64,7.0,2013,16.65,114.6,97.9,60.3,0.046,6.53,-6.61,16.6316,36.0,2.0,0.0
Oakland,Sum,31,14,105.4,108.7,0.4135,49.2,57.0,17.2,20.5,31.0,29.2,40.7,34.0,47.7,58.5,34.7,36.5,69.3,-8.5,,,2013,,,,,,,,-3.299999999999997,150.0,,0.0
Ohio,MAC,34,24,105.0,95.4,0.7511,53.6,47.5,18.5,25.5,27.4,34.4,31.3,45.9,54.3,46.5,35.1,33.1,67.9,-2.5,,,2013,9.06,106.6,97.5,66.5,0.02,-1.81,-3.94,9.052,82.0,,0.0
Ohio St.,B10,37,29,113.6,89.4,0.9406,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,65.3,7.2,E8,2.0,2013,25.42,115.1,89.7,63.6,0.02,10.18,-5.53,25.412000000000003,7.0,0.0,0.0
